<<<<<<< HEAD
Name,IRI,Entities file,Ignore
Basic Formal Ontology,http://purl.obolibrary.org/obo/bfo.owl,bfo_fovt_entities.csv,
IAO Ontology Metadata,http://purl.obolibrary.org/obo/iao/ontology-metadata.owl,,Y
Basic Formal Ontology,http://purl.obolibrary.org/obo/bfo.owl,,Y
Information Artifact Ontology,http://purl.obolibrary.org/obo/iao.owl,,Y
Ontology for Biomedical Investigations,http://purl.obolibrary.org/obo/obi.owl,,Y
Biocollections Ontology,http://purl.obolibrary.org/obo/bco.owl,bco_fovt_entities.csv,
Population and Community Ontology,http://purl.obolibrary.org/obo/pco.owl,,Y
Relations Ontology,http://purl.obolibrary.org/obo/ro.owl,,Y
Phenotype and Trait Ontology,http://purl.obolibrary.org/obo/pato.owl,pato_fovt_entities.csv,Y
Ontology of Biological Attributes,http://purl.obolibrary.org/obo/oba.owl,oba_fovt_entities.csv,
Uberon multi-species anatomy ontology,http://purl.obolibrary.org/obo/uberon.owl,uberon_fovt_entities.csv,Y
=======
Name,IRI,Entities file,IgnoreIAO Ontology Metadata,http://purl.obolibrary.org/obo/iao/ontology-metadata.owl,,Basic Formal Ontology,http://purl.obolibrary.org/obo/bfo.owl,bfo_fovt_entities.csv,YInformation Artifact Ontology,http://purl.obolibrary.org/obo/iao.owl,iao_fovt_entities.csv,YOntology for Biomedical Investigations,http://purl.obolibrary.org/obo/obi.owl,obi_fovt_entities.csv,YBiocollections Ontology,http://purl.obolibrary.org/obo/bco.owl,bco_fovt_entities.csv,YPopulation and Community Ontology,http://purl.obolibrary.org/obo/pco.owl,pco_fovt_entities.csv,YRelations Ontology,http://purl.obolibrary.org/obo/ro.owl,ro_fovt_entities.csv,YPhenotype and Trait Ontology,http://purl.obolibrary.org/obo/pato.owl,pato_fovt_entities.csv,YOntology of Biological Attributes,http://purl.obolibrary.org/obo/oba.owl,oba_fovt_entities.csv,
>>>>>>> 674c2256600a25a77ff292fcc9173578267159f0
